ID,Date,Suhu,Humid,Hujan,NDVI,Luas Konversi,Kecamatan,Label
D00100,2015-04-10,30.1,87,315,0.54,510,Rupit,Sedang
D00101,2015-04-11,26.9,87,138,0.62,466,Rupit,Rendah
D00102,2015-04-12,28.8,85,255,0.54,504,Rupit,Sedang
D00103,2015-04-13,29.9,83,117,0.56,563,Rupit,Sedang
D00104,2015-04-14,26.2,86,345,0.62,489,Rupit,Rendah
D00105,2015-04-15,29.3,89,429,0.55,561,Rupit,Sedang
D00106,2015-04-16,29.5,88,507,0.57,551,Rupit,Sedang
D00107,2015-04-17,30.2,86,135,0.55,574,Rupit,Sedang
D00108,2015-04-18,28.1,84,264,0.61,495,Rupit,Sedang
D00109,2015-04-19,30.3,87,402,0.53,518,Rupit,Sedang
D00110,2015-04-20,29.1,80,9,0.61,494,Rupit,Sedang
D00111,2015-04-21,26.9,85,342,0.61,515,Rupit,Rendah
D00112,2015-04-22,27.1,88,522,0.62,572,Rupit,Rendah
D00113,2015-04-23,28.6,88,222,0.55,533,Rupit,Sedang
D00114,2015-04-24,26.4,87,438,0.61,490,Rupit,Rendah
D00115,2015-04-25,29.8,87,138,0.53,529,Rupit,Sedang
D00116,2015-04-26,26.9,85,258,0.63,545,Rupit,Rendah
D00117,2015-04-27,28.6,90,552,0.59,452,Rupit,Sedang
D00118,2015-04-28,26.7,84,249,0.62,569,Rupit,Rendah
D00119,2015-04-29,26.4,88,762,0.63,553,Rupit,Rendah
D00120,2015-04-30,29.5,86,135,0.54,589,Rupit,Sedang
D00121,2015-05-01,27.3,85,63,0.6,505,Rupit,Rendah
D00122,2015-05-02,29.6,87,507,0.57,557,Rupit,Sedang
D00123,2015-05-03,29.7,87,132,0.56,520,Rupit,Sedang
D00124,2015-05-04,29.9,86,27,0.58,519,Rupit,Sedang
D00125,2015-05-05,26.6,86,357,0.6,507,Rupit,Rendah
D00126,2015-05-06,29.1,88,336,0.6,495,Rupit,Sedang
D00127,2015-05-07,29.3,87,186,0.56,547,Rupit,Sedang
D00128,2015-05-08,29.4,88,318,0.56,481,Rupit,Sedang
D00129,2015-05-09,29.3,88,132,0.57,516,Rupit,Sedang
D00130,2015-05-10,28.3,79,18,0.62,535,Rupit,Sedang
D00131,2015-05-11,27.3,87,105,0.62,502,Rupit,Rendah
D00132,2015-05-12,29.4,86,114,0.53,504,Rupit,Sedang
D00133,2015-05-13,29.4,87,138,0.57,482,Rupit,Sedang
D00134,2015-05-14,29.1,86,312,0.57,499,Rupit,Sedang
D00135,2015-05-15,28.4,90,336,0.58,563,Rupit,Sedang
D00136,2015-05-16,29.3,88,321,0.54,489,Rupit,Sedang
D00137,2015-05-17,30.2,87,144,0.59,492,Rupit,Sedang
D00138,2015-05-18,28.8,86,39,0.6,567,Rupit,Sedang
D00139,2015-05-19,29.8,87,480,0.55,542,Rupit,Sedang
D00140,2015-05-20,26.7,86,60,0.61,523,Rupit,Rendah
D00141,2015-05-21,30.5,86,39,0.57,507,Rupit,Sedang
D00142,2015-05-22,29.0,88,63,0.58,506,Rupit,Sedang
D00143,2015-05-23,30.0,84,30,0.6,569,Rupit,Sedang
D00144,2015-05-24,29.7,82,3,0.54,521,Rupit,Sedang
D00145,2015-05-25,29.3,82,24,0.55,554,Rupit,Sedang
D00146,2015-05-26,30.7,83,153,0.55,511,Rupit,Sedang
D00147,2015-05-27,30.5,86,117,0.58,534,Rupit,Sedang
D00148,2015-05-28,30.7,83,18,0.59,478,Rupit,Sedang
D00149,2015-05-29,27.4,82,9,0.62,484,Rupit,Rendah
D00150,2015-05-30,27.1,82,15,0.61,489,Rupit,Rendah
D00151,2015-05-31,26.6,79,3,0.62,519,Rupit,Rendah
D00152,2015-06-01,30.6,79,6,0.55,486,Rupit,Sedang
D00153,2015-06-02,26.8,85,114,0.61,479,Rupit,Rendah
D00154,2015-06-03,29.0,84,45,0.54,515,Rupit,Sedang
D00155,2015-06-04,29.0,85,81,0.56,505,Rupit,Sedang
D00156,2015-06-05,30.0,84,72,0.55,553,Rupit,Sedang
D00157,2015-06-06,26.1,90,531,0.6,548,Rupit,Rendah
D00158,2015-06-07,27.5,91,567,0.57,532,Rupit,Rendah
D00159,2015-06-08,29.4,87,69,0.57,552,Rupit,Sedang
D00160,2015-06-09,26.8,88,528,0.62,498,Rupit,Rendah
D00161,2015-06-10,29.6,89,273,0.57,547,Rupit,Sedang
D00162,2015-06-11,27.6,88,264,0.62,521,Rupit,Rendah
D00163,2015-06-12,29.8,85,123,0.57,520,Rupit,Sedang
D00164,2015-06-13,28.1,89,285,0.55,483,Rupit,Sedang
D00165,2015-06-14,29.4,87,45,0.57,546,Rupit,Sedang
D00166,2015-06-15,28.8,84,39,0.57,524,Rupit,Sedang
D00167,2015-06-16,28.3,86,27,0.58,549,Rupit,Sedang
D00168,2015-06-17,29.5,85,9,0.57,550,Rupit,Sedang
D00169,2015-06-18,29.0,85,72,0.53,510,Rupit,Sedang
D00170,2015-06-19,29.1,82,0,0.54,508,Rupit,Sedang
D00171,2015-06-20,29.6,82,30,0.55,497,Rupit,Sedang
D00172,2015-06-21,28.3,83,15,0.61,564,Rupit,Sedang
D00173,2015-06-22,30.3,84,42,0.56,525,Rupit,Sedang
D00174,2015-06-23,27.3,84,9,0.63,522,Rupit,Rendah
D00175,2015-06-24,30.6,83,18,0.6,528,Rupit,Sedang
D00176,2015-06-25,27.0,80,0,0.62,478,Rupit,Rendah
D00177,2015-06-26,30.1,78,0,0.53,528,Rupit,Sedang
D00178,2015-06-27,29.2,76,0,0.59,532,Rupit,Sedang
D00179,2015-06-28,30.1,74,0,0.6,521,Rupit,Sedang
D00180,2015-06-29,26.9,76,0,0.6,502,Rupit,Rendah
D00181,2015-06-30,27.2,78,24,0.61,533,Rupit,Rendah
D00182,2015-07-01,30.7,79,18,0.56,517,Rupit,Sedang
D00183,2015-07-02,27.2,75,0,0.63,483,Rupit,Rendah
D00184,2015-07-03,30.3,72,0,0.6,548,Rupit,Sedang
D00185,2015-07-04,29.9,70,0,0.54,528,Rupit,Sedang
D00186,2015-07-05,31.1,67,0,0.54,463,Rupit,Sedang
D00187,2015-07-06,28.1,67,0,0.61,502,Rupit,Sedang
D00188,2015-07-07,30.8,68,0,0.58,545,Rupit,Sedang
D00189,2015-07-08,29.7,70,0,0.61,526,Rupit,Sedang
D00190,2015-07-09,32.1,69,3,0.59,508,Rupit,Tinggi
D00191,2015-07-10,29.2,74,30,0.6,476,Rupit,Sedang
D00192,2015-07-11,31.6,73,27,0.56,539,Rupit,Tinggi
D00193,2015-07-12,30.4,80,243,0.58,489,Rupit,Sedang
D00194,2015-07-13,30.8,80,60,0.56,523,Rupit,Sedang
D00195,2015-07-14,25.1,90,1920,0.61,573,Rupit,Rendah
D00196,2015-07-15,29.5,82,3,0.58,552,Rupit,Sedang
D00197,2015-07-16,28.8,86,438,0.57,577,Rupit,Sedang
D00198,2015-07-17,30.0,86,48,0.55,530,Rupit,Sedang
D00199,2015-07-18,29.3,80,3,0.56,554,Rupit,Sedang
D00200,2015-07-19,30.1,80,9,0.53,489,Rupit,Sedang
D00201,2015-07-20,30.3,81,12,0.54,514,Rupit,Sedang
D00202,2015-07-21,30.4,76,15,0.6,486,Rupit,Sedang
D00203,2015-07-22,28.9,76,0,0.58,523,Rupit,Sedang
D00204,2015-07-23,28.8,75,0,0.6,508,Rupit,Sedang
D00205,2015-07-24,29.8,74,0,0.59,484,Rupit,Sedang
D00206,2015-07-25,27.2,75,0,0.6,526,Rupit,Rendah
D00207,2015-07-26,27.2,71,0,0.6,518,Rupit,Rendah
D00208,2015-07-27,29.3,74,75,0.55,542,Rupit,Sedang
D00209,2015-07-28,29.6,74,12,0.58,521,Rupit,Sedang
D00210,2015-07-29,30.9,68,0,0.58,501,Rupit,Sedang
D00211,2015-07-30,27.2,68,6,0.63,496,Rupit,Rendah
D00212,2015-07-31,30.5,67,57,0.55,517,Rupit,Sedang
D00213,2015-08-01,28.6,82,216,0.55,556,Rupit,Sedang
D00214,2015-08-02,27.0,82,225,0.63,523,Rupit,Rendah
D00215,2015-08-03,28.7,86,354,0.6,562,Rupit,Sedang
D00216,2015-08-04,25.9,88,243,0.62,563,Rupit,Rendah
D00217,2015-08-05,27.8,85,126,0.58,503,Rupit,Rendah
D00218,2015-08-06,26.2,87,327,0.62,526,Rupit,Rendah
D00219,2015-08-07,26.9,86,363,0.61,511,Rupit,Rendah
D00220,2015-08-08,29.1,82,12,0.54,526,Rupit,Sedang
D00221,2015-08-09,28.7,85,270,0.59,489,Rupit,Sedang
D00222,2015-08-10,27.2,87,582,0.61,610,Rupit,Rendah
D00223,2015-08-11,27.0,84,294,0.61,525,Rupit,Rendah
D00224,2015-08-12,30.8,79,105,0.57,556,Rupit,Sedang
D00225,2015-08-13,27.8,82,24,0.63,506,Rupit,Rendah
D00226,2015-08-14,28.4,83,33,0.6,559,Rupit,Sedang
D00227,2015-08-15,29.3,82,111,0.55,530,Rupit,Sedang
D00228,2015-08-16,28.8,82,171,0.55,562,Rupit,Sedang
D00229,2015-08-17,29.1,77,27,0.53,482,Rupit,Sedang
D00230,2015-08-18,29.3,75,0,0.55,532,Rupit,Sedang
D00231,2015-08-19,27.4,74,0,0.6,477,Rupit,Rendah
D00232,2015-08-20,27.4,77,0,0.61,533,Rupit,Rendah
D00233,2015-08-21,30.6,74,9,0.6,548,Rupit,Sedang
D00234,2015-08-22,31.1,76,48,0.59,508,Rupit,Sedang
D00235,2015-08-23,27.3,71,9,0.61,536,Rupit,Rendah
D00236,2015-08-24,27.9,67,0,0.6,527,Rupit,Rendah
D00237,2015-08-25,31.0,69,0,0.56,552,Rupit,Sedang
D00238,2015-08-26,28.8,69,30,0.62,552,Rupit,Sedang
D00239,2015-08-27,30.9,71,18,0.58,527,Rupit,Sedang
D00240,2015-08-28,30.2,69,0,0.56,524,Rupit,Sedang
D00241,2015-08-29,31.3,70,18,0.54,575,Rupit,Sedang
D00242,2015-08-30,30.3,64,3,0.63,507,Rupit,Sedang
D00243,2015-08-31,32.2,64,6,0.6,519,Rupit,Tinggi
D00244,2015-09-01,31.9,60,0,0.58,528,Rupit,Tinggi
D00245,2015-09-02,28.5,57,0,0.62,536,Rupit,Sedang
D00246,2015-09-03,30.4,62,0,0.58,556,Rupit,Sedang
D00247,2015-09-04,32.3,66,3,0.56,498,Rupit,Tinggi
D00248,2015-09-05,32.2,61,0,0.56,558,Rupit,Tinggi
D00249,2015-09-06,31.2,65,6,0.56,571,Rupit,Sedang
D00250,2015-09-07,31.1,64,0,0.58,502,Rupit,Sedang
D00251,2015-09-08,31.5,61,0,0.56,549,Rupit,Tinggi
D00252,2015-09-09,29.7,60,0,0.63,515,Rupit,Sedang
D00253,2015-09-10,31.3,61,15,0.58,504,Rupit,Sedang
D00254,2015-09-11,29.1,65,21,0.61,530,Rupit,Sedang
D00255,2015-09-12,30.0,57,0,0.61,530,Rupit,Sedang
D00256,2015-09-13,32.0,60,0,0.57,556,Rupit,Tinggi
D00257,2015-09-14,31.4,63,12,0.54,560,Rupit,Sedang
D00258,2015-09-15,31.5,70,78,0.55,514,Rupit,Tinggi
D00259,2015-09-16,32.0,72,111,0.59,597,Rupit,Tinggi
D00260,2015-09-17,31.2,69,39,0.58,571,Rupit,Sedang
D00261,2015-09-18,30.1,60,0,0.61,473,Rupit,Sedang
D00262,2015-09-19,32.7,67,48,0.56,520,Rupit,Tinggi
D00263,2015-09-20,28.0,77,132,0.63,521,Rupit,Rendah
D00264,2015-09-21,26.0,89,1734,0.62,557,Rupit,Rendah
D00265,2015-09-22,28.6,81,246,0.62,535,Rupit,Sedang
D00266,2015-09-23,31.6,74,78,0.57,502,Rupit,Tinggi
D00267,2015-09-24,30.2,64,0,0.58,530,Rupit,Sedang
D00268,2015-09-25,31.7,66,0,0.59,498,Rupit,Tinggi
D00269,2015-09-26,30.7,72,3,0.58,542,Rupit,Sedang
D00270,2015-09-27,30.4,80,213,0.59,549,Rupit,Sedang
D00271,2015-09-28,30.2,77,72,0.58,512,Rupit,Sedang
D00272,2015-09-29,30.0,73,39,0.59,537,Rupit,Sedang
D00273,2015-09-30,29.0,73,33,0.61,567,Rupit,Sedang
D00274,2015-10-01,28.4,73,33,0.61,533,Rupit,Sedang
D00275,2015-10-02,31.4,67,15,0.6,556,Rupit,Sedang
D00276,2015-10-03,32.0,62,0,0.53,444,Rupit,Tinggi
D00277,2015-10-04,31.1,65,0,0.59,561,Rupit,Sedang
D00278,2015-10-05,31.6,64,0,0.58,476,Rupit,Tinggi
D00279,2015-10-06,28.7,63,0,0.6,484,Rupit,Sedang
D00280,2015-10-07,31.7,72,81,0.58,543,Rupit,Tinggi
D00281,2015-10-08,31.7,74,63,0.56,505,Rupit,Tinggi
D00282,2015-10-09,28.7,77,192,0.62,480,Rupit,Sedang
D00283,2015-10-10,31.8,72,42,0.57,501,Rupit,Tinggi
D00284,2015-10-11,27.3,78,153,0.62,563,Rupit,Rendah
D00285,2015-10-12,32.8,67,15,0.54,475,Rupit,Tinggi
D00286,2015-10-13,28.7,72,162,0.6,471,Rupit,Sedang
D00287,2015-10-14,30.5,74,177,0.54,480,Rupit,Sedang
D00288,2015-10-15,32.8,63,0,0.6,475,Rupit,Tinggi
D00289,2015-10-16,31.8,64,0,0.53,527,Rupit,Tinggi
D00290,2015-10-17,33.0,60,0,0.54,497,Rupit,Tinggi
D00291,2015-10-18,32.6,54,0,0.59,524,Rupit,Tinggi
D00292,2015-10-19,30.8,53,0,0.62,503,Rupit,Sedang
D00293,2015-10-20,32.8,51,0,0.55,534,Rupit,Tinggi
D00294,2015-10-21,32.4,50,0,0.56,512,Rupit,Tinggi
D00295,2015-10-22,33.5,54,0,0.53,541,Rupit,Tinggi
D00296,2015-10-23,32.7,56,0,0.55,460,Rupit,Tinggi
D00297,2015-10-24,33.4,55,0,0.56,484,Rupit,Tinggi
D00298,2015-10-25,34.9,52,0,0.56,498,Rupit,Tinggi
D00299,2015-10-26,33.0,49,0,0.55,495,Rupit,Tinggi
D00300,2015-10-27,32.0,66,600,0.59,542,Rupit,Tinggi
D00301,2015-10-28,28.6,77,60,0.63,497,Rupit,Sedang
D00302,2015-10-29,30.3,80,132,0.56,599,Rupit,Sedang
D00303,2015-10-30,30.2,82,780,0.6,520,Rupit,Sedang
D00304,2015-10-31,30.8,81,75,0.58,511,Rupit,Sedang
D00305,2015-11-01,30.6,74,18,0.56,532,Rupit,Sedang
D00306,2015-11-02,30.9,75,45,0.59,481,Rupit,Sedang
D00307,2015-11-03,31.3,80,33,0.6,513,Rupit,Sedang
D00308,2015-11-04,30.8,82,207,0.59,477,Rupit,Sedang
D00309,2015-11-05,30.1,85,633,0.59,509,Rupit,Sedang
D00310,2015-11-06,25.9,87,159,0.6,550,Rupit,Rendah
D00311,2015-11-07,28.7,87,897,0.56,520,Rupit,Sedang
D00312,2015-11-08,30.2,85,564,0.58,502,Rupit,Sedang
D00313,2015-11-09,29.2,86,621,0.58,568,Rupit,Sedang
D00314,2015-11-10,27.4,84,312,0.61,491,Rupit,Rendah
D00315,2015-11-11,25.9,87,543,0.61,520,Rupit,Rendah
D00316,2015-11-12,25.6,88,207,0.63,493,Rupit,Rendah
D00317,2015-11-13,27.8,86,330,0.63,550,Rupit,Rendah
D00318,2015-11-14,27.3,86,435,0.63,483,Rupit,Rendah
D00319,2015-11-15,29.7,87,153,0.57,521,Rupit,Sedang
D00320,2015-11-16,28.7,91,1686,0.58,516,Rupit,Sedang
D00321,2015-11-17,29.6,90,807,0.6,472,Rupit,Sedang
D00322,2015-11-18,29.0,87,552,0.54,492,Rupit,Sedang
D00323,2015-11-19,29.7,89,306,0.53,548,Rupit,Sedang
D00324,2015-11-20,27.8,89,624,0.55,495,Rupit,Rendah
D00325,2015-11-21,26.4,87,630,0.61,541,Rupit,Rendah
D00326,2015-11-22,31.1,80,69,0.54,507,Rupit,Sedang
D00327,2015-11-23,31.4,81,69,0.56,507,Rupit,Sedang
D00328,2015-11-24,29.1,88,324,0.54,520,Rupit,Sedang
D00329,2015-11-25,29.3,87,360,0.6,517,Rupit,Sedang
D00330,2015-11-26,25.9,89,456,0.6,448,Rupit,Rendah
D00331,2015-11-27,29.3,86,387,0.57,548,Rupit,Sedang
D00332,2015-11-28,26.2,88,459,0.63,540,Rupit,Rendah
D00333,2015-11-29,29.9,88,381,0.57,452,Rupit,Sedang
D00334,2015-11-30,30.2,85,480,0.54,545,Rupit,Sedang
D00335,2015-12-01,28.7,89,630,0.58,548,Rupit,Sedang
D00336,2015-12-02,28.7,86,105,0.55,517,Rupit,Sedang
D00337,2015-12-03,27.2,86,423,0.61,478,Rupit,Rendah
D00338,2015-12-04,28.7,85,81,0.59,532,Rupit,Sedang
D00339,2015-12-05,27.0,87,210,0.61,520,Rupit,Rendah
D00340,2015-12-06,30.0,87,453,0.54,535,Rupit,Sedang
D00341,2015-12-07,29.3,86,120,0.55,532,Rupit,Sedang
D00342,2015-12-08,30.7,85,126,0.54,579,Rupit,Sedang
D00343,2015-12-09,29.5,86,384,0.53,530,Rupit,Sedang
D00344,2015-12-10,28.5,89,363,0.56,507,Rupit,Sedang
D00345,2015-12-11,30.4,87,165,0.6,525,Rupit,Sedang
D00346,2015-12-12,29.9,84,204,0.55,520,Rupit,Sedang
D00347,2015-12-13,28.4,93,843,0.55,566,Rupit,Sedang
D00348,2015-12-14,26.7,86,6,0.6,535,Rupit,Rendah
D00349,2015-12-15,27.0,83,105,0.61,506,Rupit,Rendah
D00350,2015-12-16,25.2,90,534,0.62,519,Rupit,Rendah
D00351,2015-12-17,26.3,87,222,0.61,544,Rupit,Rendah
D00352,2015-12-18,25.5,84,378,0.63,493,Rupit,Rendah
D00353,2015-12-19,29.3,84,141,0.58,483,Rupit,Sedang
D00354,2015-12-20,26.0,84,12,0.62,546,Rupit,Rendah
D00355,2015-12-21,29.3,85,90,0.54,512,Rupit,Sedang
D00356,2015-12-22,30.0,84,111,0.59,514,Rupit,Sedang
D00357,2015-12-23,29.6,89,177,0.56,556,Rupit,Sedang
D00358,2015-12-24,28.0,89,231,0.59,519,Rupit,Rendah
D00359,2015-12-25,27.5,87,504,0.6,546,Rupit,Rendah
D00360,2015-12-26,25.8,89,726,0.6,486,Rupit,Rendah
D00361,2015-12-27,29.4,86,447,0.58,523,Rupit,Sedang
D00362,2015-12-28,28.8,87,348,0.57,547,Rupit,Sedang
D00363,2015-12-29,28.1,89,279,0.57,506,Rupit,Sedang
D00364,2015-12-30,25.0,89,84,0.62,495,Rupit,Rendah
D00365,2015-12-31,26.3,87,150,0.61,531,Rupit,Rendah
D00366,2016-01-01,26.5,88,570,0.61,553,Rupit,Rendah
D00367,2016-01-02,28.7,83,90,0.59,522,Rupit,Sedang
D00368,2016-01-03,29.4,86,186,0.56,536,Rupit,Sedang
D00369,2016-01-04,28.0,86,270,0.6,578,Rupit,Sedang
D00370,2016-01-05,29.4,86,240,0.59,511,Rupit,Sedang
D00371,2016-01-06,29.3,85,132,0.58,556,Rupit,Sedang
D00372,2016-01-07,30.5,85,198,0.54,588,Rupit,Sedang
D00373,2016-01-08,30.5,85,168,0.56,549,Rupit,Sedang
D00374,2016-01-09,27.8,87,270,0.61,507,Rupit,Rendah
D00375,2016-01-10,26.5,82,108,0.61,514,Rupit,Rendah
D00376,2016-01-11,28.5,84,444,0.62,518,Rupit,Sedang
D00377,2016-01-12,29.2,88,447,0.55,565,Rupit,Sedang
D00378,2016-01-13,28.4,87,384,0.56,588,Rupit,Sedang
D00379,2016-01-14,26.2,88,195,0.61,519,Rupit,Rendah
D00380,2016-01-15,28.2,90,369,0.59,534,Rupit,Sedang
D00381,2016-01-16,26.9,87,192,0.6,552,Rupit,Rendah
D00382,2016-01-17,29.7,90,567,0.56,576,Rupit,Sedang
D00383,2016-01-18,26.1,86,297,0.6,535,Rupit,Rendah
D00384,2016-01-19,28.7,89,675,0.54,541,Rupit,Sedang
D00385,2016-01-20,29.6,85,45,0.59,540,Rupit,Sedang
D00386,2016-01-21,29.8,81,24,0.57,589,Rupit,Sedang
D00387,2016-01-22,27.5,83,78,0.6,570,Rupit,Rendah
D00388,2016-01-23,29.2,87,111,0.59,566,Rupit,Sedang
D00389,2016-01-24,29.4,86,177,0.59,574,Rupit,Sedang
D00390,2016-01-25,28.8,86,144,0.53,554,Rupit,Sedang
D00391,2016-01-26,29.1,85,180,0.55,560,Rupit,Sedang
D00392,2016-01-27,29.9,85,381,0.53,563,Rupit,Sedang
D00393,2016-01-28,29.1,87,171,0.54,512,Rupit,Sedang
D00394,2016-01-29,27.8,84,198,0.61,577,Rupit,Rendah
D00395,2016-01-30,28.7,86,285,0.53,551,Rupit,Sedang
D00396,2016-01-31,28.1,84,156,0.62,540,Rupit,Sedang
