ID,Suhu,Humid,Hujan,NDVI,Luas Konversi,Kecamatan,Label
D00080,28.5,89,216,0.53,514,Rupit,Sedang
D00081,22.6,85,66,0.81,56,Ulu Rawas,Rendah
D00082,25.8,90,378,0.72,232,Karang Jaya,Rendah
D00083,30.8,90,258,0.33,1862,Rawas Ilir,Sedang
D00084,30.3,88,138,0.37,1853,Rawas Ilir,Sedang
D00085,26.4,90,1437,0.73,185,Karang Jaya,Rendah
D00086,28.7,90,642,0.56,555,Rawas Ulu,Sedang
D00087,28.8,89,309,0.58,497,Rupit,Sedang
D00088,29.5,90,462,0.5,490,Karang Dapo,Sedang
D00089,28.8,87,57,0.54,618,Rawas Ulu,Sedang
D00090,31.0,92,447,0.3,1871,Rawas Ilir,Sedang
D00091,28.5,88,207,0.58,573,Rupit,Sedang
D00092,28.5,85,255,0.49,454,Karang Dapo,Sedang
D00093,26.2,85,171,0.72,158,Karang Jaya,Rendah
D00094,30.4,90,141,0.39,1846,Rawas Ilir,Sedang
D00095,24.4,87,318,0.74,11,Ulu Rawas,Rendah
D00096,30.0,88,741,0.33,1920,Rawas Ilir,Sedang
D00097,28.0,89,747,0.6,590,Rupit,Rendah
D00098,32.8,72,18,0.31,1550,Nibung,Tinggi
D00099,27.8,87,198,0.54,501,Rupit,Rendah
D00100,30.0,81,105,0.52,467,Rupit,Sedang
D00101,31.0,88,138,0.33,1805,Rawas Ilir,Sedang
D00102,28.2,88,342,0.49,596,Rawas Ulu,Sedang
D00103,29.0,85,417,0.52,492,Rawas Ulu,Sedang
D00104,30.0,89,444,0.38,1836,Rawas Ilir,Sedang
D00105,28.8,76,0,0.48,573,Rawas Ulu,Sedang
D00106,29.1,86,84,0.58,577,Rawas Ulu,Sedang
D00107,25.6,86,72,0.78,96,Karang Jaya,Rendah
D00108,27.2,86,525,0.59,495,Rupit,Rendah
D00109,31.5,72,3,0.35,1857,Rawas Ilir,Sedang
D00110,29.3,90,162,0.52,535,Rupit,Sedang
D00111,27.9,86,153,0.57,541,Rupit,Rendah
D00112,25.7,68,6,0.78,70,Ulu Rawas,Rendah
D00113,27.2,83,225,0.56,684,Rawas Ulu,Rendah
D00114,31.0,72,9,0.59,649,Rupit,Sedang
D00115,29.7,84,360,0.5,676,Rawas Ulu,Sedang
D00116,25.7,89,405,0.79,139,Karang Jaya,Rendah
D00117,26.6,89,348,0.73,118,Karang Jaya,Rendah
D00118,26.6,90,207,0.8,295,Karang Jaya,Rendah
D00119,28.0,88,693,0.62,543,Rupit,Rendah
D00120,31.6,73,0,0.29,1835,Rawas Ilir,Tinggi
D00121,30.6,68,27,0.48,430,Karang Dapo,Sedang
D00122,25.8,87,414,0.77,141,Karang Jaya,Rendah
D00123,31.4,86,153,0.38,1492,Nibung,Sedang
D00124,24.0,89,138,0.79,111,Ulu Rawas,Rendah
D00125,31.7,89,132,0.35,1504,Nibung,Tinggi
D00126,27.4,86,216,0.6,614,Rawas Ulu,Rendah
D00127,28.2,88,501,0.59,642,Rawas Ulu,Sedang
D00128,28.6,88,105,0.4,1632,Nibung,Sedang
D00129,29.8,92,432,0.37,1819,Rawas Ilir,Sedang
D00130,31.3,85,603,0.38,1874,Rawas Ilir,Sedang
D00131,27.6,86,30,0.69,128,Karang Jaya,Rendah
D00132,28.3,83,27,0.5,592,Rawas Ulu,Sedang
D00133,29.9,88,513,0.6,620,Rawas Ulu,Sedang
D00134,25.3,90,672,0.78,195,Karang Jaya,Rendah
D00135,30.3,88,450,0.37,1868,Rawas Ilir,Sedang
D00136,24.5,90,231,0.84,100,Ulu Rawas,Rendah
D00137,27.0,85,108,0.7,164,Karang Jaya,Rendah
D00138,27.4,86,540,0.57,393,Rupit,Rendah
D00139,29.3,89,18,0.33,1916,Rawas Ilir,Sedang
D00140,24.2,84,99,0.77,134,Ulu Rawas,Rendah
D00141,27.7,87,384,0.54,580,Rupit,Rendah
D00142,31.0,87,78,0.39,1821,Rawas Ilir,Sedang
D00143,28.8,89,39,0.54,561,Rawas Ulu,Sedang
D00144,28.6,87,936,0.54,512,Karang Dapo,Sedang
D00145,28.1,85,462,0.54,585,Rawas Ulu,Sedang
D00146,30.9,65,0,0.57,506,Rupit,Sedang
D00147,22.6,89,177,0.78,105,Ulu Rawas,Rendah
D00148,29.9,88,228,0.31,1839,Rawas Ilir,Sedang
D00149,28.0,89,198,0.61,490,Rupit,Sedang
D00150,30.7,65,0,0.52,394,Rupit,Sedang
D00151,27.5,90,414,0.57,582,Rawas Ulu,Rendah
D00152,31.2,80,21,0.37,1756,Rawas Ilir,Sedang
D00153,24.6,90,219,0.75,123,Ulu Rawas,Rendah
D00154,28.1,82,21,0.48,538,Karang Dapo,Sedang
D00155,25.5,91,408,0.75,111,Karang Jaya,Rendah
D00156,30.6,88,489,0.33,1587,Nibung,Sedang
D00157,31.7,89,120,0.39,1524,Nibung,Tinggi
D00158,27.0,88,252,0.76,154,Karang Jaya,Rendah
D00159,30.0,84,330,0.53,605,Rawas Ulu,Sedang
D00160,24.9,91,159,0.76,198,Karang Jaya,Rendah
D00161,24.0,85,36,0.77,50,Ulu Rawas,Rendah
D00162,31.5,92,213,0.33,1806,Rawas Ilir,Tinggi
D00163,26.3,87,111,0.77,237,Karang Jaya,Rendah
D00164,24.6,82,12,0.77,148,Ulu Rawas,Rendah
D00165,26.8,90,660,0.7,97,Karang Jaya,Rendah
D00166,24.8,84,96,0.73,109,Ulu Rawas,Rendah
D00167,28.0,91,372,0.56,448,Karang Dapo,Rendah
D00168,30.5,69,0,0.59,589,Rupit,Sedang
D00169,25.6,74,6,0.84,69,Ulu Rawas,Rendah
D00170,27.6,84,279,0.59,515,Rupit,Rendah
D00171,29.2,87,204,0.47,398,Karang Dapo,Sedang
D00172,31.0,86,39,0.37,1864,Rawas Ilir,Sedang
D00173,30.6,67,0,0.58,471,Karang Dapo,Sedang
D00174,28.3,81,3,0.59,687,Rawas Ulu,Sedang
D00175,29.1,87,204,0.47,553,Karang Dapo,Sedang
D00176,27.0,87,972,0.55,602,Rupit,Rendah
D00177,30.2,92,282,0.36,1629,Nibung,Sedang
D00178,29.4,88,447,0.55,614,Rupit,Sedang
D00179,33.8,66,21,0.32,1597,Nibung,Tinggi
D00180,25.4,84,42,0.76,35,Ulu Rawas,Rendah
D00181,29.0,88,99,0.5,545,Rawas Ulu,Sedang
D00182,31.7,82,15,0.34,1892,Rawas Ilir,Tinggi
D00183,30.3,76,3,0.57,621,Rawas Ulu,Sedang
D00184,29.2,92,903,0.54,498,Rupit,Sedang
D00185,28.5,75,0,0.58,580,Rupit,Sedang
D00186,26.3,90,879,0.79,205,Karang Jaya,Rendah
D00187,31.2,79,228,0.38,1514,Nibung,Sedang
D00188,29.2,81,30,0.53,429,Karang Dapo,Sedang
D00189,25.1,90,1443,0.81,46,Ulu Rawas,Rendah
D00190,28.5,87,354,0.52,652,Rawas Ulu,Sedang
D00191,26.7,77,90,0.7,148,Karang Jaya,Rendah
D00192,31.2,87,306,0.39,1830,Rawas Ilir,Sedang
D00193,28.3,91,462,0.59,653,Rawas Ulu,Sedang
D00194,29.6,88,189,0.55,576,Rupit,Sedang
D00195,28.4,76,0,0.5,620,Rawas Ulu,Sedang
D00196,30.9,87,126,0.39,1874,Rawas Ilir,Sedang
D00197,24.1,89,324,0.74,58,Ulu Rawas,Rendah
D00198,26.7,87,225,0.7,125,Karang Jaya,Rendah
D00199,24.4,78,237,0.84,102,Ulu Rawas,Rendah
D00200,24.6,85,111,0.78,58,Ulu Rawas,Rendah
D00201,28.8,87,759,0.57,520,Rupit,Sedang
D00202,29.3,89,147,0.5,457,Karang Dapo,Sedang
D00203,30.8,87,165,0.37,1822,Rawas Ilir,Sedang
D00204,23.6,90,426,0.73,138,Ulu Rawas,Rendah
D00205,27.7,89,495,0.6,524,Rupit,Rendah
D00206,28.1,87,42,0.56,611,Rawas Ulu,Sedang
D00207,24.3,83,363,0.8,148,Ulu Rawas,Rendah
D00208,24.6,87,243,0.79,73,Ulu Rawas,Rendah
D00209,30.1,84,360,0.33,1598,Nibung,Sedang
D00210,29.1,87,408,0.52,658,Rawas Ulu,Sedang
D00211,30.6,89,183,0.31,1522,Nibung,Sedang
D00212,29.0,83,24,0.61,670,Rupit,Sedang
D00213,30.7,73,15,0.49,654,Rawas Ulu,Sedang
D00214,27.2,89,942,0.55,714,Rawas Ulu,Rendah
D00215,33.0,83,24,0.35,1892,Rawas Ilir,Tinggi
D00216,29.0,89,333,0.56,497,Karang Dapo,Sedang
D00217,23.8,80,0,0.82,84,Ulu Rawas,Rendah
D00218,30.8,90,690,0.31,1538,Nibung,Sedang
D00219,30.8,91,345,0.36,1853,Rawas Ilir,Sedang
D00220,27.4,83,21,0.63,492,Rupit,Rendah
D00221,29.8,81,6,0.63,546,Rupit,Sedang
D00222,29.4,87,12,0.47,456,Karang Dapo,Sedang
D00223,30.9,70,0,0.53,453,Rupit,Sedang
D00224,27.3,84,159,0.6,621,Rawas Ulu,Rendah
D00225,29.6,83,267,0.64,525,Rupit,Sedang
D00226,25.5,89,747,0.68,173,Karang Jaya,Rendah
D00227,29.1,86,435,0.59,670,Rawas Ulu,Sedang
D00228,26.5,92,303,0.72,207,Karang Jaya,Rendah
D00229,26.2,88,240,0.79,104,Karang Jaya,Rendah
D00230,29.9,87,63,0.33,1614,Nibung,Sedang
D00231,30.4,84,81,0.37,1596,Nibung,Sedang
D00232,31.4,88,57,0.38,1470,Nibung,Sedang
D00233,29.1,87,189,0.58,547,Rawas Ulu,Sedang
D00234,28.8,81,0,0.55,583,Karang Dapo,Sedang
D00235,30.2,90,174,0.6,440,Rupit,Sedang
D00236,33.6,64,0,0.32,1835,Rawas Ilir,Tinggi
D00237,28.2,89,330,0.46,386,Karang Dapo,Sedang
D00238,24.6,91,1263,0.73,68,Ulu Rawas,Rendah
D00239,27.6,83,291,0.73,178,Karang Jaya,Rendah
D00240,29.7,85,396,0.58,625,Rawas Ulu,Sedang
D00241,29.9,71,18,0.5,731,Rawas Ulu,Sedang
D00242,32.9,64,0,0.35,1784,Rawas Ilir,Tinggi
D00243,27.6,87,477,0.74,168,Karang Jaya,Rendah
D00244,30.7,67,3,0.51,589,Rawas Ulu,Sedang
D00245,24.0,89,774,0.78,20,Ulu Rawas,Rendah
D00246,24.1,88,369,0.77,85,Ulu Rawas,Rendah
D00247,27.8,88,438,0.51,395,Karang Dapo,Rendah
D00248,27.0,90,477,0.57,600,Rawas Ulu,Rendah
D00249,21.9,92,699,0.79,101,Ulu Rawas,Rendah
D00250,27.9,89,1167,0.52,410,Karang Dapo,Rendah
D00251,28.7,87,804,0.54,521,Rupit,Sedang
D00252,29.2,91,249,0.38,1888,Rawas Ilir,Sedang
D00253,30.5,87,315,0.33,1825,Rawas Ilir,Sedang
D00254,31.2,88,456,0.28,1921,Rawas Ilir,Sedang
D00255,32.4,73,438,0.38,1596,Nibung,Tinggi
D00256,32.1,84,378,0.41,1575,Nibung,Tinggi
D00257,31.6,88,390,0.36,1821,Rawas Ilir,Tinggi
D00258,33.6,65,0,0.35,1880,Rawas Ilir,Tinggi
D00259,28.5,79,0,0.56,483,Karang Dapo,Sedang
D00260,30.9,88,570,0.37,1865,Rawas Ilir,Sedang
D00261,28.0,73,0,0.74,175,Karang Jaya,Rendah
D00262,30.0,89,513,0.38,1587,Nibung,Sedang
D00263,28.9,90,321,0.54,490,Rupit,Sedang
D00264,32.2,89,48,0.35,1602,Nibung,Tinggi
D00265,33.9,64,27,0.32,1835,Rawas Ilir,Tinggi
D00266,28.7,89,351,0.54,541,Rupit,Sedang
D00267,25.5,88,186,0.79,94,Ulu Rawas,Rendah
D00268,29.5,87,198,0.4,1567,Nibung,Sedang
D00269,27.2,75,9,0.76,143,Karang Jaya,Rendah
D00270,31.1,87,621,0.4,1538,Nibung,Sedang
D00271,26.5,89,489,0.75,150,Karang Jaya,Rendah
D00272,29.6,88,33,0.57,710,Rawas Ulu,Sedang
D00273,29.3,88,153,0.35,1847,Rawas Ilir,Sedang
D00274,27.5,88,198,0.56,461,Karang Dapo,Rendah
D00275,23.6,92,1041,0.73,163,Ulu Rawas,Rendah
D00276,27.7,87,162,0.56,459,Karang Dapo,Rendah
D00277,23.8,89,339,0.78,74,Ulu Rawas,Rendah
D00278,30.0,86,198,0.3,1895,Rawas Ilir,Sedang
D00279,29.2,83,12,0.49,463,Karang Dapo,Sedang
D00280,29.5,86,264,0.52,556,Rupit,Sedang
D00281,25.6,68,3,0.82,78,Ulu Rawas,Rendah
D00282,30.7,86,255,0.34,1547,Nibung,Sedang
D00283,28.4,89,243,0.57,516,Karang Dapo,Sedang
D00284,26.5,89,657,0.49,580,Rawas Ulu,Rendah
D00285,28.1,73,0,0.71,133,Karang Jaya,Sedang
D00286,31.4,89,213,0.31,1523,Nibung,Sedang
D00287,28.5,88,678,0.55,556,Rupit,Sedang
D00288,27.1,89,786,0.56,490,Rupit,Rendah
D00289,29.3,78,12,0.58,604,Karang Dapo,Sedang
D00290,29.1,85,198,0.4,1837,Rawas Ilir,Sedang
D00291,28.3,88,111,0.53,480,Karang Dapo,Sedang
D00292,29.8,89,705,0.32,1795,Rawas Ilir,Sedang
D00293,30.5,72,0,0.36,1853,Rawas Ilir,Sedang
D00294,29.6,91,387,0.34,1825,Rawas Ilir,Sedang
D00295,30.3,90,729,0.35,1869,Rawas Ilir,Sedang
D00296,31.3,89,531,0.28,1823,Rawas Ilir,Sedang
D00297,29.2,89,873,0.54,413,Karang Dapo,Sedang
D00298,24.5,89,327,0.81,34,Ulu Rawas,Rendah
D00299,28.8,86,510,0.62,491,Rupit,Sedang
D00300,30.3,89,288,0.31,1860,Rawas Ilir,Sedang
D00301,29.0,89,30,0.62,483,Rupit,Sedang
D00302,28.2,85,12,0.73,136,Karang Jaya,Sedang
D00303,30.1,91,99,0.29,1847,Rawas Ilir,Sedang
D00304,27.4,79,24,0.75,76,Karang Jaya,Rendah
D00305,27.4,87,195,0.58,604,Rawas Ulu,Rendah
D00306,31.1,89,1047,0.31,1894,Rawas Ilir,Sedang
D00307,28.6,87,198,0.52,607,Rawas Ulu,Sedang
D00308,25.4,89,267,0.79,38,Ulu Rawas,Rendah
D00309,29.2,87,396,0.53,476,Karang Dapo,Sedang
D00310,28.9,90,768,0.52,456,Karang Dapo,Sedang
D00311,31.1,82,174,0.35,1887,Rawas Ilir,Sedang
D00312,28.5,89,870,0.55,574,Rupit,Sedang
D00313,31.7,87,411,0.36,1856,Rawas Ilir,Tinggi
D00314,31.8,89,663,0.36,1547,Nibung,Tinggi
D00315,30.2,64,6,0.51,613,Rawas Ulu,Sedang
D00316,30.2,91,615,0.37,1529,Nibung,Sedang
D00317,27.8,92,225,0.5,437,Karang Dapo,Rendah
D00318,34.1,68,36,0.38,1502,Nibung,Tinggi
D00319,29.6,86,105,0.3,1925,Rawas Ilir,Sedang
D00320,28.4,89,123,0.64,561,Rupit,Sedang
D00321,26.8,87,117,0.72,154,Karang Jaya,Rendah
D00322,29.2,90,480,0.55,658,Rawas Ulu,Sedang
D00323,30.3,84,300,0.47,522,Karang Dapo,Sedang
D00324,27.2,88,114,0.73,152,Karang Jaya,Rendah
D00325,28.9,87,147,0.52,644,Rawas Ulu,Sedang
D00326,30.1,79,774,0.56,660,Rawas Ulu,Sedang
D00327,26.5,89,549,0.69,164,Karang Jaya,Rendah
D00328,27.8,88,405,0.64,489,Rupit,Rendah
D00329,25.9,87,291,0.77,146,Karang Jaya,Rendah
D00330,25.4,87,45,0.78,104,Karang Jaya,Rendah
D00331,30.1,91,234,0.36,1879,Rawas Ilir,Sedang
D00332,31.4,86,303,0.3,1876,Rawas Ilir,Sedang
D00333,27.5,89,531,0.61,400,Rupit,Rendah
D00334,29.8,86,369,0.52,532,Karang Dapo,Sedang
D00335,28.8,80,57,0.56,604,Rawas Ulu,Sedang
D00336,33.0,61,0,0.33,1801,Rawas Ilir,Tinggi
D00337,27.5,86,162,0.71,194,Karang Jaya,Rendah
D00338,33.6,63,0,0.29,1996,Rawas Ilir,Tinggi
D00339,31.7,87,12,0.4,1534,Nibung,Tinggi
D00340,24.7,90,192,0.72,79,Ulu Rawas,Rendah
D00341,30.5,87,291,0.34,1647,Nibung,Sedang
D00342,27.9,90,300,0.53,465,Karang Dapo,Rendah
D00343,31.6,91,516,0.39,1831,Rawas Ilir,Tinggi
D00344,24.4,86,162,0.78,99,Ulu Rawas,Rendah
D00345,31.4,77,9,0.39,1923,Rawas Ilir,Sedang
D00346,29.5,86,273,0.62,538,Rupit,Sedang
D00347,25.8,90,453,0.78,169,Karang Jaya,Rendah
D00348,24.5,87,219,0.75,84,Ulu Rawas,Rendah
D00349,26.7,89,60,0.74,138,Karang Jaya,Rendah
D00350,23.9,86,195,0.83,128,Ulu Rawas,Rendah
D00351,27.2,87,606,0.6,551,Rupit,Rendah
D00352,28.2,87,276,0.61,525,Rupit,Sedang
D00353,27.0,89,237,0.63,555,Rupit,Rendah
D00354,27.5,89,111,0.55,541,Rupit,Rendah
D00355,28.4,86,204,0.52,538,Rupit,Sedang
D00356,28.8,88,297,0.55,574,Rupit,Sedang
D00357,28.6,89,576,0.62,592,Rupit,Sedang
D00358,28.0,86,882,0.56,522,Rupit,Sedang
D00359,27.9,86,54,0.63,511,Rupit,Rendah
D00360,29.4,86,39,0.62,535,Rupit,Sedang
D00361,29.3,87,168,0.62,514,Rupit,Sedang
D00362,28.7,86,492,0.57,471,Rupit,Sedang
D00363,28.1,91,210,0.62,462,Rupit,Sedang
D00364,27.7,88,249,0.6,467,Rupit,Rendah
D00365,27.7,89,279,0.55,517,Rupit,Rendah
D00366,27.7,88,435,0.53,535,Rupit,Rendah
D00367,26.5,90,906,0.6,495,Rupit,Rendah
D00368,28.5,88,678,0.55,548,Rupit,Sedang
D00369,27.3,92,723,0.6,502,Rupit,Rendah
D00370,27.8,87,198,0.54,505,Rupit,Rendah
D00371,28.8,85,117,0.64,488,Rupit,Sedang
D00372,28.6,87,402,0.62,481,Rupit,Sedang
D00373,27.1,89,768,0.55,554,Rupit,Rendah
D00374,28.4,86,165,0.55,526,Rupit,Sedang
D00375,27.4,83,21,0.63,497,Rupit,Rendah
D00376,28.1,82,12,0.63,573,Rupit,Sedang
D00377,27.6,85,165,0.55,521,Rupit,Rendah
D00378,28.7,87,639,0.59,571,Rupit,Sedang
D00379,27.4,88,69,0.57,546,Rupit,Rendah
D00380,27.2,85,207,0.53,656,Rupit,Rendah
D00381,27.2,87,174,0.53,471,Rupit,Rendah
D00382,28.0,85,0,0.53,470,Rupit,Rendah
D00383,29.1,86,189,0.64,416,Rupit,Sedang
D00384,29.1,86,27,0.52,501,Rupit,Sedang
D00385,29.2,84,312,0.6,490,Rupit,Sedang
D00386,28.7,84,129,0.53,513,Rupit,Sedang
D00387,28.2,84,0,0.57,598,Rupit,Sedang
D00388,28.0,85,156,0.58,497,Rupit,Rendah
D00389,29.7,82,3,0.63,543,Rupit,Sedang
D00390,28.8,81,30,0.59,496,Rupit,Sedang
D00391,29.6,84,519,0.61,453,Rupit,Sedang
D00392,28.3,83,159,0.52,503,Rupit,Sedang
D00393,29.8,81,0,0.52,594,Rupit,Sedang
D00394,28.5,79,30,0.56,485,Rupit,Sedang
D00395,28.8,83,510,0.63,535,Rupit,Sedang
D00396,28.5,89,216,0.53,515,Rupit,Sedang
D00397,28.1,87,357,0.61,551,Rupit,Sedang
D00398,29.8,80,243,0.55,552,Rupit,Sedang
D00399,29.6,83,450,0.57,531,Rupit,Sedang
D00400,27.7,87,384,0.54,568,Rupit,Rendah
D00401,27.8,88,405,0.64,495,Rupit,Rendah
D00402,27.4,88,357,0.53,486,Rupit,Rendah
D00403,27.1,89,786,0.56,496,Rupit,Rendah
D00404,28.2,87,255,0.53,505,Rupit,Sedang
D00405,27.0,87,972,0.55,585,Rupit,Rendah
D00406,28.8,84,618,0.55,476,Rupit,Sedang
D00407,28.5,83,150,0.55,583,Rupit,Sedang
D00408,28.7,83,381,0.58,589,Rupit,Sedang
D00409,28.1,85,153,0.62,526,Rupit,Sedang
D00410,27.9,86,153,0.57,536,Rupit,Rendah
D00411,27.4,82,12,0.61,467,Rupit,Rendah
D00412,27.4,86,540,0.57,418,Rupit,Rendah
D00413,27.6,86,378,0.62,520,Rupit,Rendah
D00414,28.3,81,243,0.57,545,Rupit,Sedang
D00415,28.3,87,663,0.55,558,Rupit,Sedang
D00416,27.2,86,525,0.59,500,Rupit,Rendah
D00417,29.0,86,183,0.64,574,Rupit,Sedang
D00418,27.1,88,501,0.62,430,Rupit,Rendah
D00419,26.7,88,807,0.58,529,Rupit,Rendah
D00420,28.6,89,711,0.57,559,Rupit,Sedang
D00421,27.4,90,246,0.55,529,Rupit,Rendah
D00422,28.5,88,903,0.63,477,Rupit,Sedang
D00423,27.6,84,279,0.59,516,Rupit,Rendah
D00424,28.6,85,111,0.64,498,Rupit,Sedang
D00425,28.5,88,207,0.59,520,Rupit,Sedang
D00426,28.9,88,132,0.58,507,Rupit,Sedang
D00427,28.2,87,531,0.54,535,Rupit,Sedang
D00428,28.8,86,189,0.59,517,Rupit,Sedang
D00429,27.9,88,357,0.55,581,Rupit,Rendah
D00430,29.2,85,366,0.59,577,Rupit,Sedang
D00431,29.8,85,513,0.57,478,Rupit,Sedang
D00432,28.9,90,321,0.54,496,Rupit,Sedang
D00433,27.9,89,765,0.55,473,Rupit,Rendah
D00434,29.1,87,576,0.56,556,Rupit,Sedang
D00435,30.1,86,468,0.53,381,Rupit,Sedang
D00436,28.1,87,360,0.53,557,Rupit,Sedang
D00437,29.4,88,447,0.55,595,Rupit,Sedang
D00438,28.1,88,477,0.56,487,Rupit,Sedang
D00439,29.2,88,405,0.62,505,Rupit,Sedang
D00440,28.1,85,132,0.6,468,Rupit,Sedang
D00441,29.3,88,261,0.62,502,Rupit,Sedang
D00442,28.0,87,6,0.54,576,Rupit,Sedang
D00443,28.1,89,420,0.53,490,Rupit,Sedang
D00444,27.9,88,333,0.61,510,Rupit,Rendah
D00445,29.0,90,249,0.6,516,Rupit,Sedang
D00446,27.2,89,159,0.62,566,Rupit,Rendah
D00447,28.8,89,336,0.57,520,Rupit,Sedang
D00448,27.7,89,495,0.6,523,Rupit,Rendah
D00449,27.1,88,648,0.61,480,Rupit,Rendah
D00450,29.0,89,462,0.53,507,Rupit,Sedang
D00451,29.3,88,198,0.63,448,Rupit,Sedang
D00452,28.5,88,183,0.54,499,Rupit,Sedang
D00453,30.4,85,327,0.56,577,Rupit,Sedang
D00454,28.9,86,204,0.63,478,Rupit,Sedang
D00455,30.0,87,513,0.55,575,Rupit,Sedang
D00456,28.8,92,594,0.57,561,Rupit,Sedang
D00457,30.8,85,705,0.54,592,Rupit,Sedang
D00458,29.7,90,345,0.62,486,Rupit,Sedang
